"","sitename","CORAL","OI","MA","MA_noHALI","BCA","CCA","SAND","FCA","RUB","TURF","ACROP","ACROPARB","ACROST","ACROTBL","ASTRP","CAUL","COSC","CTEN","CYPH","DIPLO","ECHPO","ECHPHY","FAV","FAVT","FUNG","GAL","GON","GONIO","HYD","ISOP","LEPT","LEPTOR","LEPTOS","LOBOPH","MERU","MILL","MONT","MONTI","OXYP","PACHY","PAV","PLAT","POC","POR","PORCYL","PORMAS","PORRUS","PSAM","STYLO","SYMP","TURBIN","ANEM","Rock","SC","S","Z","ASP","BG","CHLDES","DYCTY","DICT","GLXU","HALI","NEOM","NOIDMAC","BCA1","CCA1","Sand","FCA1","Rubble","Tur"
"1","Aasu",3.29614362363652,0.380317871133111,1.22030810608111,0.472797151656045,0.576210386006262,4.17877923845402,0.16216808513684,2.8344643293201,0.256410256410256,5.3099214939761,0.888231183368655,0.503113253085861,0,0.576210386006262,0.5499387330648,0,0.48650425541052,0,0,0,0.128205128205128,0,0,0.128205128205128,0,0,0,0.256410256410256,0,0,0.16216808513684,0,0,0,0,0,0.128205128205128,2.86273754860437,0,0,0.308758835353649,0,0.628074293021328,0,0,0.417405656310249,4.47837964967839,0,0,0,0,0,0,0,0.256410256410256,0,0,0.380317871133111,0,0,0,0.32433617027368,0.897435897435897,0,0,0.503113253085861,4.757084063131,0.16216808513684,2.1997549322592,0.256410256410256,4.74913051317435
"2","Afono",1.98734325214365,0.262742327332297,2.88675590097624,0.344010458076891,1.91866845127135,1.89133461187324,1.20267070764703,1.3025641025641,0,1.43959231572795,0.256410256410256,0,0,0,0,0,0.16216808513684,0,0,0,0.128205128205128,0,0,0.380317871133111,0,0.16216808513684,0,0,0,0.128205128205128,0.16216808513684,0,0,0,0,0,0,1.37504766518303,0,0,0.460283193278295,0,0.262742327332297,0,0,0.264289204650772,1.31510218390403,0,0,0,0,0,0,0,0.262742327332297,0,0,0.344010458076891,0,0,0,0,2.95188681455496,0,0,1.91866845127135,1.89133461187324,1.20267070764703,1.3025641025641,0,1.43959231572795
"3","Alega",2.72084992715535,0.986429951880582,1.6216808513684,1.50825037639515,0.256410256410256,2.75924124150043,0.8108404256842,1.98283230042884,0,0.64867234054736,0.262742327332297,0.897435897435897,0,0,0,0,0,0,0,0,0,0,0.367123617007086,0.262742327332297,0,0,0,0.380317871133111,0.256410256410256,0.128205128205128,0.262742327332297,0,0,0.628074293021328,0,0,0,0.860026145192227,0,0,0.16216808513684,0.380317871133111,0.380317871133111,0,0,1.10583890527425,0.804736144947447,0,0,0,0,0,0.897435897435897,1.3086974518128,1.00622650617172,0,0,0,1.91279301554444,0,0,0.727500562005698,1.10583890527425,0,0,0.256410256410256,2.75924124150043,0.8108404256842,1.98283230042884,0,0.64867234054736
"4","Alofau",2.34891948525103,0.133333333333333,1.80309471710248,1.63837125067232,0.810012946220028,5.38253683936185,0.264289204650772,2.8708285920155,0,1.85025186195359,0,0,0,0.128205128205128,0,0,0.133333333333333,0,0,1.06666666666667,0,0,0,0,0,0.128205128205128,0,0,0,0.128205128205128,0.128205128205128,0,0,0,0,0,0,0.444145198403582,0,0,0.617517670707297,0,0,0,0,0,3.0561219963877,0,0,0,0,0,0,0.133333333333333,0,0,0,0,1.14113799504459,0,0.384615384615385,0.747399612084888,0.902389260454323,0,0.128205128205128,0.810012946220028,5.38253683936185,0.264289204650772,2.8708285920155,0,1.85025186195359
"5","Amalau",2.80090621195222,0.525484654664595,0.607405536577139,0.133333333333333,0.16216808513684,1.90051032974777,0,2.06231009924081,0,0.609134931596866,0.586860287217229,1.99096578905202,0,0.827549951218655,0,0,0.128205128205128,0,0,0,0,0,0.260682359531053,0.384615384615385,0,0,0.256410256410256,0.128205128205128,0,0,0.383211111636295,0.380317871133111,0.128205128205128,0.128205128205128,0,0,0.317948717948718,1.89189071912112,0,0,1.66933908034123,0.397229061149479,0.256410256410256,0,0,0.344010458076891,3.26599034982569,0,0,0,0,0,0,0.525484654664595,0,0,0,0.133333333333333,0,0,0,0,0.646662396537275,0,0,0.16216808513684,1.90051032974777,0,2.06231009924081,0,0.609134931596866
"6","Amaluia",3.5718418094731,1.12353345129265,3.65688133046299,3.36718511054928,0,1.57332296991205,0.384615384615385,2.27685955097337,0,0.93158472433769,1.51260320038488,0.512820512820513,2.34793963142593,0.262742327332297,0,0.256410256410256,0,0,0,0,0.256410256410256,0.128205128205128,0,0.128205128205128,0,0.128205128205128,0.128205128205128,0.128205128205128,0,2.93530953692801,0.128205128205128,0.128205128205128,0,0,1.16941069240937,0,0.128205128205128,1.46513278227299,0,0,0.16216808513684,0,0.308758835353649,0,0,0.48650425541052,0.924500327042049,0.128205128205128,0,0,0.967927491701378,0,0,0.256410256410256,1.15242077201252,0,0,0,0.429056423863628,0,0,3.36913710208167,0.308758835353649,0,0,0,1.57332296991205,0.384615384615385,2.27685955097337,0,0.93158472433769
"7","Amanave",3.88527116407709,1.4149107344945,0.128205128205128,0.128205128205128,0.256410256410256,2.00262812202735,0,2.92858230989418,0,0.503113253085861,0.904732244327044,1.26267407715335,0,0.641025641025641,0,0,0.128205128205128,0,0,0,0.256410256410256,0,0.128205128205128,0,0,0.128205128205128,0.641025641025641,0.128205128205128,0,1.81671688040188,0.256410256410256,0,0,0,0.503113253085861,0,0,0.444115591684328,0,0,0,0,0.804736144947447,0.128205128205128,0,0.256410256410256,0.727500562005698,0,0,0,0,0,0,1.04469480961351,0.609480221743831,0,0,0,0.128205128205128,0,0,0,0,0,0,0.256410256410256,2.00262812202735,0,2.92858230989418,0,0.503113253085861
"8","Amaua",5.10153320342434,2.26818025807104,3.41949779273267,3.46865365601761,0,2.57178336781945,0,2.44398118854608,0,0.888231183368655,0,0,0,1.41025641025641,0,0,0,0,0,0.128205128205128,0,0,0.16216808513684,0.256410256410256,0,0.128205128205128,0.256410256410256,0.940365170302167,0,0,0.16216808513684,0,0,0,0,0,0.172005229038445,3.41709358952978,0,0,0.16216808513684,0,0,0,0,0.256410256410256,0,0,0,0,0,0,0.128205128205128,2.23606797749979,0,0.128205128205128,0,0,3.43101451731328,0,0,0.417405656310249,0.128205128205128,0,0,0,2.57178336781945,0,2.44398118854608,0,0.888231183368655
"9","Amouli",4.47160961742829,0.302911577961484,0.262742327332297,0.262742327332297,0.16216808513684,2.20088440773246,0.128205128205128,3.52529695290768,0,0.608962213104248,0.397229061149479,0.16545913646053,0.256410256410256,0.897435897435897,0,0,0,0,0,0.4,0.128205128205128,0,0.479672252778363,0.256410256410256,0.128205128205128,0.256410256410256,0.860026145192227,0,0,2.24566790200627,0.16545913646053,0,0,0,0,0.16216808513684,0.430402774530406,1.15411962571202,0,0,0.619558494791342,0,0.569323161824988,0.133333333333333,0,0.128205128205128,0.828883583345878,0,0.128205128205128,0,0,0,0,0.377681079785066,0,0.384615384615385,0,0,0.262742327332297,0,0,0,0,0,0,0.16216808513684,2.20088440773246,0.128205128205128,3.52529695290768,0,0.608962213104248
"10","Aoa",3.9004711527808,0.32433617027368,0.706874294978986,0.760635742266222,3.22506619149336,1.80309471710248,0.256410256410256,1.77368447236116,0,3.7966904858874,0.128205128205128,0,0,0,0.128205128205128,0,0.380317871133111,0,0,0,0,0.384615384615385,0.128205128205128,0.512820512820513,0,0,0.128205128205128,0.993072652873697,0.128205128205128,0,0.16216808513684,0,0.128205128205128,0,0,0,0,3.87892025616855,0,0,1.13517659595788,0,0.397229061149479,0,0,0.128205128205128,3.01213849345403,0.128205128205128,0,0,0,0,0,0.256410256410256,0,0.256410256410256,0,0.16216808513684,0,0,0.760635742266222,0,0.256410256410256,0,0,3.22506619149336,1.80309471710248,0.256410256410256,1.77368447236116,0,3.7966904858874
"11","Fagaalu",1.95360386141543,1.50825037639515,0.256410256410256,0,0,2.61739490362561,0,3.39973313722405,0,0.587509704481518,0.128205128205128,0.512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0.256410256410256,0.128205128205128,0,0,0,0,0,0,0,0,0,0.128205128205128,0.128205128205128,0.858112847727257,0,0,1.29734468109472,0.256410256410256,0.128205128205128,0,0,0,0.417405656310249,0,0,0,0,0,0,1.51802667852469,0.128205128205128,0,0,0,0,0,0,0,0.256410256410256,0,0,0,2.61739490362561,0,3.39973313722405,0,0.587509704481518
"12","Fagaitua",0.828883583345878,0.472797151656045,0.516015687115336,0.397229061149479,0.836777890875934,2.53574057745151,0,2.02223016955183,0.128205128205128,0.910166120476864,1.16518643769249,0.812864999187044,0.397229061149479,2.38130456679573,0,0,0.256410256410256,0,0,0,0.128205128205128,0,0,0,0.16216808513684,0.16216808513684,0.384615384615385,0.769230769230769,0.628074293021328,0.256410256410256,0,0,0,0.986429951880582,0,0,0.280883362823162,1.53096463984904,0,0,0.727500562005698,0.380317871133111,0.397229061149479,0,0,0,0.754125188197576,0.128205128205128,0,0,0,0,0,0.384615384615385,0.128205128205128,0,0,0.256410256410256,0.256410256410256,0,0,0,0.32936493791449,0,0,0.836777890875934,2.53574057745151,0,2.02223016955183,0.128205128205128,0.910166120476864
"13","Fagamalo",3.51945844856892,0,0.561766725646324,0.128205128205128,0.706874294978986,3.36132233458045,0.128205128205128,1.86757515226976,0,1.24695552982439,0,0.503113253085861,0,0.699863798151599,0,0,0,0,0,0,0,0.128205128205128,0,0,0,0,0,0,0,0,0.262742327332297,0,0,0,0,0,0.262742327332297,0.16216808513684,0,0,0.380317871133111,0.128205128205128,0.641025641025641,0,0,1.05876014472116,5.06239828511222,0,0,0,0,0,0,0,0,0,0,0.128205128205128,0,0,0,0,0.576210386006262,0,0,0.706874294978986,3.36132233458045,0.128205128205128,1.86757515226976,0,1.24695552982439
"14","Fagasa2",3.30560458861196,0.503113253085861,0.709195727484068,1.669622625241,3.08971699105478,5.79197794773155,0.256410256410256,2.04486174742327,0,2.17948717948718,0,0,0,0,0,0,0.128205128205128,0,0,0,0,0,0.367123617007086,0,0.128205128205128,0,0,0,0,0,0,0,0.128205128205128,0,0.128205128205128,0,0,0.760635742266222,0,0,0.919151196355637,0.256410256410256,0.308758835353649,0,1.54379417676824,1.2149084862033,2.83967847352559,0,0,0,0,0,0,0,0.256410256410256,0,0,1.669622625241,0,0,0,0,1.11324581262012,0,0,3.08971699105478,5.79197794773155,0.256410256410256,2.04486174742327,0,2.17948717948718
"15","Fagatele",2.69718727527328,0.64867234054736,1.0399640918294,0.947330933431342,0.236398575828023,2.82807843126958,0,1.89118860662418,0.128205128205128,1.17081539044419,2.44061621216221,0,1.76532456185215,2.49983562904746,0,0,0.384615384615385,0,0,0,1.00622650617172,0,0,0.128205128205128,0,0.236398575828023,0.128205128205128,0,0.880798155759881,0.48650425541052,0.128205128205128,0,0,0.128205128205128,0.32433617027368,0.128205128205128,0.128205128205128,1.77275754025063,0,0,0.397229061149479,0,0.128205128205128,0.128205128205128,0.882662280926077,0,1.85698390343589,0,0,0,0,0,0,0.727500562005698,0.128205128205128,0,0,0.344010458076891,0.828883583345878,0,0,0.512820512820513,0.858112847727257,0,0,0.236398575828023,2.82807843126958,0,1.89118860662418,0.128205128205128,1.17081539044419
"16","Laulii",2.78883846553556,3.75560068286711,0.524006213231855,0.427859525817767,1.14772163753454,2.84245543952878,0.256410256410256,5.42822147933053,0.16545913646053,0.64867234054736,0.262742327332297,0,0,0.256410256410256,0.16216808513684,0,0.133333333333333,0,0,0,0.380317871133111,0,0.133333333333333,0,0,0.23700964119572,0.133333333333333,0.256410256410256,0,0.128205128205128,0,0.16216808513684,0,2.92854189989397,0.133333333333333,0.128205128205128,0.128205128205128,1.77368447236116,0,0,0.260682359531053,0.256410256410256,0.23700964119572,0,0,0,2.23121127362124,0,0,0,0,0,0,3.75069574961502,0,0.16216808513684,0,0.128205128205128,0.431988506433901,0,0,0,0.256410256410256,0,0,1.14772163753454,2.84245543952878,0.256410256410256,5.42822147933053,0.16545913646053,0.64867234054736
"17","Leone2",1.87810667458769,0.367123617007086,1.92990241719833,2.00262812202735,0.128205128205128,1.70179933395335,0,0.743147525445612,0,2.36468094599068,0.641025641025641,1.42417375148706,0.628074293021328,0.595843591724218,0,0,0.256410256410256,0,0,0,0,0,0.128205128205128,0.128205128205128,0,0,0.128205128205128,0.128205128205128,0,1.94348149350125,0.128205128205128,0,0,0,0.384615384615385,0.128205128205128,0.128205128205128,1.27819934160149,0,0,0.429056423863628,0,0.16216808513684,0,0,0.641025641025641,1.10137085102126,0.128205128205128,0,0,0,0,0,0.256410256410256,0.472797151656045,0.128205128205128,0,0,1.68139449341077,0,0,0.888231183368655,0.384615384615385,0,0,0.128205128205128,1.70179933395335,0,0.743147525445612,0,2.36468094599068
"18","Maloata",3.18867572198249,0,0.128205128205128,0,0.993072652873697,1.53418208222068,0,2.81876402661491,0,0.432870333747029,0.680816310120603,0.262742327332297,0,0.516015687115336,0.128205128205128,0,0.262742327332297,0.256410256410256,0,0,0,0.384615384615385,0.367123617007086,0.384615384615385,0,0,0,0.128205128205128,0.128205128205128,0,0.380317871133111,0,0,0,0,0.128205128205128,0.32433617027368,4.06755899286301,0,0,0.706874294978986,0,0.888231183368655,0,0.128205128205128,0,3.25550158935464,0,0,0,0.380317871133111,0,0,0,0,0,0,0,0,0,0,0,0.128205128205128,0,0,0.993072652873697,1.53418208222068,0,2.81876402661491,0,0.432870333747029
"19","Masausi",2.29411963035268,0.256410256410256,0.671089862989867,0,0.429056423863628,1.20267070764703,0,2.45404843364213,0,1.76997383132537,0.8108404256842,0.128205128205128,0.128205128205128,0.32433617027368,0.769230769230769,0,0.236398575828023,0,0.128205128205128,0,0.128205128205128,0.256410256410256,0.256410256410256,0,0,0.16216808513684,0.384615384615385,0.262742327332297,0,0,0.584705346204686,0,0,0,0,0.128205128205128,0.540898028454589,2.35353330136998,0.128205128205128,0,1.84633190024561,0,0.380317871133111,0.128205128205128,0,0.128205128205128,0.988094813743472,0.262742327332297,0,0.128205128205128,0,0,0,0.256410256410256,0,0,0,0,0,0,0,0,0.671089862989867,0,0,0.429056423863628,1.20267070764703,0,2.45404843364213,0,1.76997383132537
"20","Masefau",1.28365028489534,0.128205128205128,2.03689828786527,0.256410256410256,1.77942067414333,0.981418420974597,3.57600300638068,1.60456285611918,2.94662579067921,4.19881953292654,0.381836112184334,0,0,0.706148446062439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434810106897056,0,0,0,0,0.16216808513684,0,0,0.16545913646053,0.128205128205128,0,0,0,0,0,0,0,0.128205128205128,0,0,0.256410256410256,0,0,0,0,2.09255905981251,0,0,1.77942067414333,0.981418420974597,3.57600300638068,1.60456285611918,2.94662579067921,4.19881953292654
"21","Matuu",1.98614530574739,1.02724233969283,0.678397772067844,0.736482390581799,0.967927491701378,3.40359866790669,0.380317871133111,3.11303594067204,1.9502355763904,1.87109224606749,0.280883362823162,0.128205128205128,0,1.13082446518974,0.32433617027368,0,0,0,0,0,0.16216808513684,0,0.256410256410256,0.128205128205128,0.128205128205128,0.641025641025641,0,0.384615384615385,0.128205128205128,0,0.128205128205128,0.384615384615385,0,1.99357943768463,0.397229061149479,0.128205128205128,0.256410256410256,0.888231183368655,0,0,0.512820512820513,0.256410256410256,0.308758835353649,0,0,0,1.04626696221042,0,0,0,0.754125188197576,0,0,1.04469480961351,0.128205128205128,0,0,0,0.981418420974597,0,0,0.617517670707297,0.367123617007086,0,0,0.967927491701378,3.40359866790669,0.380317871133111,3.11303594067204,1.9502355763904,1.87109224606749
"22","Nua",2.17268924762204,0.236398575828023,2.63491950331592,2.87648426654835,0.384615384615385,3.68776429868863,0.256410256410256,1.69696329310506,0.256410256410256,2.76400266219731,0.262742327332297,0.128205128205128,0,0,0.512820512820513,0,0,0,0,0,0.503113253085861,0,0.128205128205128,0.256410256410256,0,0.128205128205128,0,0.16216808513684,0,1.3086974518128,0.512820512820513,0,0,0,0,0,0,2.40534141529407,0,0,0.262742327332297,0,0.128205128205128,0,0.512820512820513,0.384615384615385,1.77368447236116,0.769230769230769,0,0,0,0,0,0,0.198614530574739,0.128205128205128,0,0,1.26267407715335,0,0,2.07992818365879,0.947330933431342,0,0,0.384615384615385,3.68776429868863,0.256410256410256,1.69696329310506,0.256410256410256,2.76400266219731
"23","Nuuuli",1.72482359577868,3.49508906900282,1.67845926656955,1.67845926656955,0,2.80180274454312,0,1.91193352639049,0,0.256410256410256,0.16216808513684,0,0,0,0,0,0.128205128205128,0,0,0.384615384615385,0.256410256410256,0,0.256410256410256,0.384615384615385,0,0.128205128205128,0,0,0,0,0,0.128205128205128,0,0,0,0,0.128205128205128,0.128205128205128,0,0,0.128205128205128,0,0.172005229038445,0,0,0,1.44252135169592,0.128205128205128,0,0,0,0,0,3.50119731563333,0,0.128205128205128,0,0.128205128205128,1.79487179487179,0,0,0,0,0,0,0,2.80180274454312,0,1.91193352639049,0,0.256410256410256
"24","Oa",1.92581002365389,0.992291128199392,0.1986807243878,0.12932841244019,0.641025641025641,1.2441685145392,0.384615384615385,1.34065053340849,0.256410256410256,0.861233157137671,0.49070251133972,0,0,0.628095228482177,0.133333333333333,0,0.256410256410256,0,0,0,0.128205128205128,0,0.331910176928911,0.257484927397604,0,0,0.16545913646053,1.02564102564103,0,0,0.871327174696676,0,0.128205128205128,0,0,0.384615384615385,0.128205128205128,2.59357928689731,0,0.628095228482177,1.73846153846154,0.417405656310249,0.314831702116325,0,0,0.128205128205128,0.882662280926077,0.417405656310249,0,0,0,0,0,1.02082201217407,0.133333333333333,0,0,0.12932841244019,0,0,0,0,0.128205128205128,0,0,0.641025641025641,1.2441685145392,0.384615384615385,1.34065053340849,0.256410256410256,0.861233157137671
"25","Poloa",3.05601873245186,0,0.128205128205128,0.128205128205128,0,2.29411963035267,0,1.27175351462946,0,0.680816310120603,0.671089862989867,2.08702828155124,0,0.961111016102119,0,0,0.417405656310249,0,0,0,0,0,0.417405656310249,0.128205128205128,0,0,0.384615384615385,0,0,0.256410256410256,0.754125188197576,0,0,0,0,0,0.236398575828023,2.16662873582334,0,0,1.07722828397949,0,0.429056423863628,0,0,0.128205128205128,0,0.16216808513684,0,0,0,0,0,0,0,0,0,0,0,0.128205128205128,0,0,0,0,0,0,2.29411963035267,0,1.27175351462946,0,0.680816310120603
"26","Sita",2.39520120723556,0.256410256410256,1.08593300580498,0.458565926279142,1.42417375148706,2.31238838421398,0,0.990540399331973,0,1.68783402470075,0.584705346204686,0.128205128205128,0,0.409261614414949,0.266666666666667,0,0.380317871133111,0,0.384615384615385,0.384615384615385,0,0,0.785536580056066,0.549005436311223,0,0.128205128205128,0.16216808513684,0.256410256410256,0,0,1.25615905390392,0.384615384615385,0,0,0,0,0.16545913646053,2.87150181654927,0,0,1.60780476439796,0.128205128205128,0.23700964119572,0,0,0.128205128205128,0.584705346204686,0.16216808513684,0,0,0,0,0,0,0.256410256410256,0,0.314831702116325,0.244277033103888,0.256410256410256,0,0,0,1.21841016899399,0,0,1.42417375148706,2.31238838421398,0,0.990540399331973,0,1.68783402470075
"27","Tafeu",4.24124576987391,4.874830363373,0.429056423863628,0.429056423863628,0.503113253085861,1.92307692307692,0.16216808513684,2.01979031726236,0,1.13517659595788,0.641025641025641,0,0,0,0.16216808513684,0,1.13082446518974,0,0,0,0,0,0.503113253085861,0,0,0,0.262742327332297,0,0,0,0.5499387330648,0,0,0.628074293021328,0.128205128205128,0,0,3.39392658621011,0,0,0.762793578494539,0,0.256410256410256,0.128205128205128,0,0.880798155759881,5.79878470116967,0,0,0,0,4.97594476441287,0,0,0.262742327332297,0,0,0.16216808513684,0,0.128205128205128,0.512820512820513,0,0,0.128205128205128,0,0.503113253085861,1.92307692307692,0.16216808513684,2.01979031726236,0,1.13517659595788
"28","Vatia",2.19077019110706,0,2.05848095758218,1.93585498340276,1.72863115801879,1.59819918382025,3.69266380049122,1.42417375148706,3.12620785335945,3.83973823894152,0,0,0,0.128205128205128,0,0,0,0,0,0,0,0,0,0,0.128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0.462250163521024,0,0,0.16216808513684,0,0.128205128205128,0,0.576210386006262,2.28190722679867,1.35315638994449,0,0,0,0,0,0,0,0,0,0.262742327332297,2.0995913944548,0,0,0.256410256410256,0.16216808513684,1.83561808503543,0,0,1.72863115801879,1.59819918382025,3.69266380049122,1.42417375148706,3.12620785335945,3.83973823894152
