"","sitename","dispersion","site_transect","ACROP","ACROPARB","ACROST","ACROTBL","ASTRP","CAUL","COSC","CTEN","CYPH","DIPLO","ECHPO","ECHPHY","FAV","FAVT","FUNG","GAL","GON","GONIO","HYD","ISOP","LEPT","LEPTOR","LEPTOS","LOBOPH","MERU","MILL","MONT","MONTI","OXYP","PACHY","PAV","PLAT","POC","POR","PORCYL","PORMAS","PORRUS","PSAM","STYLO","SYMP","TURBIN"
"1","Aasu","High","Aasu_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38461538461539,0,0,1.53846153846154,0,1.53846153846154,0,0,0,14.6153846153846,0,0,0,0
"2","Aasu","High","Aasu_2",1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3076923076923,0,0,1.53846153846154,0,4.61538461538461,0,0,0,26.1538461538462,0,0,0,0
"3","Aasu","High","Aasu_5",3.07692307692308,3.07692307692308,0,3.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,22.3076923076923,0,0,1.53846153846154,0,0.769230769230769,0,0,0,0,0,0,0,0
"4","Aasu","High","Aasu_6",6.15384615384615,0.769230769230769,0,2.30769230769231,2.30769230769231,0,2.30769230769231,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,19.2307692307692,0,0,2.30769230769231,0,0.769230769230769,0,0,1.53846153846154,0,0,0,0,0
"5","Aasu","High","Aasu_3",2.30769230769231,0,0,0,0.769230769230769,0,2.30769230769231,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,22.3076923076923,0,0,1.53846153846154,0,0.769230769230769,0,0,2.30769230769231,1.53846153846154,0,0,0,0
"6","Aasu","High","Aasu_4",0.769230769230769,0,0,0,3.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0,0,22.3076923076923,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0
"7","Afono","Med","Afono_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2.30769230769231,0,0,0,0,0,3.07692307692308,0,0,0,0
"8","Afono","Med","Afono_6",0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615384615385,0,0,1.53846153846154,0,0,0,0,0,4.61538461538461,0,0,0,0
"9","Afono","Med","Afono_2",1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,3.07692307692308,0,0,2.30769230769231,0,0.769230769230769,0,0,0,7.69230769230769,0,0,0,0
"10","Afono","Med","Afono_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0.8,0,0,0,0,0.8,2.4,0,0,0,0
"11","Afono","Med","Afono_1",0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,2.30769230769231,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,5.38461538461539,0,0,0,0,0,0,0,1.53846153846154,7.69230769230769,0,0,0,0
"12","Afono","Med","Afono_3",0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0.769230769230769,0,0,0,0,0,0,8.46153846153846,0,0,3.07692307692308,0,1.53846153846154,0,0,0,10.7692307692308,0,0,0,0
"13","Alega","Med","Alega_2",0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0.769230769230769,0,0,0.769230769230769,0,0,0,0,0,0,0.769230769230769,0,0,0.769230769230769,0,2.30769230769231,0,0,0,0.769230769230769,0,0,0,0
"14","Alega","Med","Alega_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Alega","Med","Alega_3",0,0,0,0,0,0,0,0,0,0,0,0,2.30769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Alega","Med","Alega_1",0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,1.53846153846154,0,0,0,0,1.53846153846154,0,0,0,0,3.84615384615385,0,0,0,0.769230769230769,0,0,0.769230769230769,2.30769230769231,0.769230769230769,0,0,1.53846153846154,0,0,0,0,0
"17","Alega","Med","Alega_4",0,5.38461538461539,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,2.30769230769231,0,0.769230769230769,0,0,0,0,0,0,0,3.07692307692308,0,0,0,0.769230769230769,0,0,0,6.92307692307692,3.07692307692308,0,0,0,0
"18","Alega","Med","Alega_5",1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0.769230769230769,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0.769230769230769,4.61538461538461,0,0,0,0
"19","Alofau","High","Alofau_1",0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07692307692308,0,0,0.769230769230769,0,0,0,0,0,3.84615384615385,0,0,0,0
"20","Alofau","High","Alofau_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,15.3846153846154,0,0,0,0
"21","Alofau","High","Alofau_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,2.30769230769231,0,0,1.53846153846154,0,0,0,0,0,0.769230769230769,0,0,0,0
"22","Alofau","High","Alofau_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,19.2307692307692,0,0,0,0
"23","Alofau","High","Alofau_5",0,0,0,0,0,0,0.8,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,5.6,0,0,0,0
"24","Alofau","High","Alofau_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,3.84615384615385,0,0,0,0,0,3.07692307692308,0,0,0,0
"25","Amalau","Low","Amalau_1",0,0,0,3.07692307692308,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,18.4615384615385,0,0,4.61538461538461,0,0,0,0,1.53846153846154,21.5384615384615,0,0,0,0
"26","Amalau","Low","Amalau_4",3.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,2.30769230769231,2.30769230769231,0,0.769230769230769,0,0,2.30769230769231,23.8461538461538,0,0,9.23076923076923,0,1.53846153846154,0,0,0,0,0,0,0,0
"27","Amalau","Low","Amalau_2",3.07692307692308,7.69230769230769,0,0,0,0,0.769230769230769,0,0,0,0,0,0.769230769230769,2.30769230769231,0,0,0,0.769230769230769,0,0,1.53846153846154,0,0.769230769230769,0,0,0,0.769230769230769,24.6153846153846,0,0,10,1.53846153846154,0,0,0,1.53846153846154,4.61538461538461,0,0,0,0
"28","Amalau","Low","Amalau_3",3.84615384615385,2.30769230769231,0,2.30769230769231,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0.769230769230769,0.769230769230769,0,0,0,0,0.769230769230769,28.4615384615385,0,0,14.6153846153846,2.30769230769231,0,0,0,1.53846153846154,6.15384615384615,0,0,0,0
"29","Amalau","Low","Amalau_5",3.2,9.6,0,4.8,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,1.6,0,0,0,0,0,2.4,16.8,0,0,13.6,0,0,0,0,0,0.8,0,0,0,0
"30","Amalau","Low","Amalau_6",3.84615384615385,10.7692307692308,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,26.9230769230769,0,0,15.3846153846154,0.769230769230769,0,0,0,0,2.30769230769231,0,0,0,0
"31","Amaluia","Med","Amaluia_2",0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0.769230769230769,0,0,0,13.8461538461538,0,0,0,0,4.61538461538461,0,0.769230769230769,5.38461538461539,0,0,0.769230769230769,0,0,0,0,0,3.84615384615385,0,0,0,6.15384615384615
"32","Amaluia","Med","Amaluia_6",4.61538461538461,0,1.53846153846154,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0.769230769230769,0,22.3076923076923,0,0,0,0,7.69230769230769,0,0,7.69230769230769,0,0,0.769230769230769,0,0,0,0,2.30769230769231,6.92307692307692,0,0,0,6.15384615384615
"33","Amaluia","Med","Amaluia_3",0.769230769230769,3.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,7.69230769230769,0,0,0,0,1.53846153846154,0,0,2.30769230769231,0.769230769230769,0,0,0,0
"34","Amaluia","Med","Amaluia_1",1.53846153846154,0,14.6153846153846,1.53846153846154,0,0,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0,14.6153846153846,0.769230769230769,0,0,0,1.53846153846154,0,0,7.69230769230769,0,0,0,0,1.53846153846154,0,0,0,2.30769230769231,0,0,0,5.38461538461539
"35","Amaluia","Med","Amaluia_4",10,0,4.61538461538461,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,16.1538461538462,0,0,0,0,6.15384615384615,0,0,3.07692307692308,0,0,0,0,0.769230769230769,0,0,0,1.53846153846154,0,0,0,4.61538461538461
"36","Amaluia","Med","Amaluia_5",0.769230769230769,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.769230769230769,0,0,4.61538461538461,0,0,13.8461538461538,0,0,0,0,0,0,0,0,4.61538461538461,0.769230769230769,0,0,3.07692307692308
"37","Amanave","Med","Amanave_2",0.769230769230769,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,43.0769230769231,0,0,0,0,0,0,0,6.92307692307692,0,0,0,0,1.53846153846154,0,0,0,0.769230769230769,0,0,0,0
"38","Amanave","Med","Amanave_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3076923076923,0,0,0,0,0.769230769230769,0,0,6.92307692307692,0,0,0,0,0.769230769230769,0,0,0,1.53846153846154,0,0,0,0
"39","Amanave","Med","Amanave_3",0.769230769230769,0,0,3.84615384615385,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,35.3846153846154,0,0,0,0,3.07692307692308,0,0,6.15384615384615,0,0,0,0,1.53846153846154,0,0,1.53846153846154,2.30769230769231,0,0,0,0
"40","Amanave","Med","Amanave_5",1.53846153846154,6.15384615384615,0,1.53846153846154,0,0,0.769230769230769,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0,40,1.53846153846154,0,0,0,0,0,0,5.38461538461539,0,0,0,0,4.61538461538461,0.769230769230769,0,0,4.61538461538461,0,0,0,0
"41","Amanave","Med","Amanave_4",2.30769230769231,6.15384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615384615385,0.769230769230769,0,40.7692307692308,0,0,0,0,0,0,0,8.46153846153846,0,0,0,0,0,0,0,0,3.84615384615385,0,0,0,0
"42","Amanave","Med","Amanave_6",6.15384615384615,0.769230769230769,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0.769230769230769,0,0,0,33.0769230769231,0,0,0,0,0,0,0,7.69230769230769,0,0,0,0,4.61538461538461,0,0,0,0,0,0,0,0
"43","Amaua","High","Amaua_2",0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,3.07692307692308,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Amaua","High","Amaua_4",0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0.769230769230769,3.07692307692308,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0
"45","Amaua","High","Amaua_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Amaua","High","Amaua_1",0,0,0,8.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0.769230769230769,0,0,0,0,0,0.769230769230769,22.3076923076923,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,0
"47","Amaua","High","Amaua_3",0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,5.38461538461539,0,0,0,0,0,0,0,0,0,2.30769230769231,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0
"48","Amaua","High","Amaua_6",0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,3.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Amouli","Med","Amouli_3",0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0.769230769230769,0.769230769230769,0,0,2.30769230769231,0,0,0,0,0,0.769230769230769,0.769230769230769,4.61538461538461,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0
"50","Amouli","Med","Amouli_4",2.30769230769231,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0.769230769230769,0,0,15.3846153846154,0.769230769230769,0,0,0,0,0,3.07692307692308,12.3076923076923,0,0,3.07692307692308,0,2.30769230769231,0,0,0.769230769230769,2.30769230769231,0,0,0,0
"51","Amouli","Med","Amouli_1",0.769230769230769,0,0,5.38461538461539,0,0,0,0,0,0,0,0,2.30769230769231,0,0,0,0,0,0,3.07692307692308,0,0,0,0,0,0,1.53846153846154,10,0,0,0,0,2.30769230769231,0,0,0,5.38461538461539,0,0,0,0
"52","Amouli","Med","Amouli_2",0,0,0,0,0,0,0,0,0,0,0,0,2.30769230769231,0,0,0.769230769230769,0,0,0,1.53846153846154,0,0,0,0,0,0,0.769230769230769,7.69230769230769,0,0,3.07692307692308,0,1.53846153846154,0,0,0,3.84615384615385,0,0,0,0
"53","Amouli","Med","Amouli_6",1.53846153846154,0,1.53846153846154,0,0,0,0,0,0,0,0.769230769230769,0,0.769230769230769,0,0,1.53846153846154,5.38461538461539,0,0,10.7692307692308,0,0,0,0,0,0.769230769230769,0,6.15384615384615,0,0,0,0,0.769230769230769,0,0,0,4.61538461538461,0,0.769230769230769,0,0
"54","Amouli","Med","Amouli_5",0,0.8,0,0,0,0,0,0,0,2.4,0,0,2.4,0,0,0,0,0,0,7.2,0.8,0,0,0,0,0,1.6,6.4,0,0,0.8,0,4,0.8,0,0,0,0,0,0,0
"55","Aoa","Med","Aoa_2",0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69230769230769,0,0,3.84615384615385,0,2.30769230769231,0,0,0.769230769230769,22.3076923076923,0,0,0,0
"56","Aoa","Med","Aoa_1",0.769230769230769,0,0,0,0,0,2.30769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.769230769230769,0,0,0,0,0,16.9230769230769,0.769230769230769,0,0,0
"57","Aoa","Med","Aoa_4",0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,25.3846153846154,0,0,7.69230769230769,0,0,0,0,0,16.1538461538462,0,0,0,0
"58","Aoa","Med","Aoa_5",0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,3.84615384615385,0.769230769230769,0,0,0,0.769230769230769,0,0,0,0,6.92307692307692,0,0,0.769230769230769,0,0.769230769230769,0,0,0,29.2307692307692,0,0,0,0
"59","Aoa","Med","Aoa_6",0,0,0,0,0,0,0,0,0,0,0,2.30769230769231,0,0,0,0,0,5.38461538461539,0,0,0,0,0,0,0,0,0,30.7692307692308,0,0,1.53846153846154,0,1.53846153846154,0,0,0,19.2307692307692,0,0,0,0
"60","Aoa","Med","Aoa_3",0,0,0,0,0,0,0,0,0,0,0,0,0,3.07692307692308,0,0,0.769230769230769,0,0,0,0.769230769230769,0,0,0,0,0,0,19.2307692307692,0,0,0.769230769230769,0,0,0,0,0,34.6153846153846,0,0,0,0
"61","Fagaalu","Med","Fagaalu_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,4.61538461538461,0,0,6.15384615384615,0,0,0,0,0,0,0,0,0,0
"62","Fagaalu","Med","Fagaalu_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Fagaalu","Med","Fagaalu_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,1.53846153846154,0,0,8.46153846153846,1.53846153846154,0,0,0,0,0,0,0,0,0
"64","Fagaalu","Med","Fagaalu_4",0,3.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61538461538461,0,0,3.07692307692308,0,0.769230769230769,0,0,0,0,0,0,0,0
"65","Fagaalu","Med","Fagaalu_6",0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,3.84615384615385,0,0,0,0,0,1.53846153846154,0,0,0,0
"66","Fagaalu","Med","Fagaalu_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,7.69230769230769,0,0,0,0,0,2.30769230769231,0,0,0,0
"67","Fagaitua","Low","Fagaitua_1",6.15384615384615,0,0,13.8461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,12.3076923076923,0,0,6.15384615384615,0.769230769230769,3.07692307692308,0,0,0,0.769230769230769,0,0,0,0
"68","Fagaitua","Low","Fagaitua_4",10.7692307692308,2.30769230769231,1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615384615385,0,0,0,0,6.15384615384615,0,0,0.769230769230769,11.5384615384615,0,0,3.84615384615385,0,0.769230769230769,0,0,0,0,0,0,0,0
"69","Fagaitua","Low","Fagaitua_5",4.61538461538461,0.769230769230769,0,7.69230769230769,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0.769230769230769,19.2307692307692,0,0,3.07692307692308,0,0.769230769230769,0,0,0,4.61538461538461,0,0,0,0
"70","Fagaitua","Low","Fagaitua_2",3.07692307692308,0,0.769230769230769,15.3846153846154,0,0,1.53846153846154,0,0,0,0.769230769230769,0,0,0,0.769230769230769,0,0,0,0.769230769230769,0,0,0,0,0.769230769230769,0,0,0,7.69230769230769,0,0,6.15384615384615,0,2.30769230769231,0,0,0,0,0.769230769230769,0,0,0
"71","Fagaitua","Low","Fagaitua_3",3.84615384615385,4.61538461538461,2.30769230769231,3.84615384615385,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,2.30769230769231,4.61538461538461,0,0,0,0,0,0.769230769230769,0,0,0,12.3076923076923,0,0,2.30769230769231,2.30769230769231,0.769230769230769,0,0,0,0,0,0,0,0
"72","Fagaitua","Low","Fagaitua_6",7.69230769230769,3.84615384615385,0,7.69230769230769,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,1.53846153846154,0,0,0,0,0,0,1.53846153846154,11.5384615384615,0,0,2.30769230769231,0,1.53846153846154,0,0,0,0,0,0,0,0
"73","Fagamalo","Med","Fagamalo_5",0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0.769230769230769,0,0,0,1.53846153846154,0,3.84615384615385,0,0,0,3.07692307692308,0,0,0,0
"74","Fagamalo","Med","Fagamalo_6",0,0.769230769230769,0,3.84615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,0,1.53846153846154,0.769230769230769,0,0,0,0,0,0,0,6.15384615384615,0,0,0,0,0
"75","Fagamalo","Med","Fagamalo_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,1.53846153846154,0,1.53846153846154,0,0,0,26.1538461538462,0,0,0,0
"76","Fagamalo","Med","Fagamalo_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,30.7692307692308,0,0,0,0
"77","Fagamalo","Med","Fagamalo_4",0,3.07692307692308,0,1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0.769230769230769,0,0,0,1.53846153846154,9.23076923076923,0,0,0,0
"78","Fagamalo","Med","Fagamalo_2",0,0,0,3.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30769230769231,0,0,0,0,4.61538461538461,15.3846153846154,0,0,0,0
"79","Fagasa2","High","Fagasa2_5",0,0,0,0,0,0,0,0,0,0,0,0,2.30769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,1.53846153846154,1.53846153846154,0.769230769230769,0,0,6.92307692307692,0,0,0,0,0
"80","Fagasa2","High","Fagasa2_6",0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30769230769231,0,0,2.30769230769231,0,0.769230769230769,0,0,1.53846153846154,2.30769230769231,0,0,0,0
"81","Fagasa2","High","Fagasa2_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,4.61538461538461,0,0,5.38461538461539,0,0.769230769230769,0,0,6.92307692307692,3.07692307692308,0,0,0,0
"82","Fagasa2","High","Fagasa2_4",0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,6.15384615384615,0,2.30769230769231,0,0,4.61538461538461,10.7692307692308,0,0,0,0
"83","Fagasa2","High","Fagasa2_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0.769230769230769,0,6.92307692307692,0.769230769230769,16.9230769230769,0,0,0,0
"84","Fagasa2","High","Fagasa2_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,7.69230769230769,7.69230769230769,13.8461538461538,0,0,0,0
"85","Fagatele","Med","Fagatele_6",6.15384615384615,0,0,4.61538461538461,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0.769230769230769,0,0,0,0.769230769230769,0.769230769230769,0,0,0,0,0,0,15.3846153846154,0,0,0,0,0.769230769230769,0,0,0,2.30769230769231,0,0,0,0
